GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous	GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous	GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous	GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous	GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous	GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous	GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous	GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous	GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous
5S_rRNA	0	0	0	0	0	0	0	0	0	0
7SK	0	0	0	0	0	0	0	0	0	0
A1BG	0.31	0.31	0.12	0.12	0.31	0.12	0.19	0.31	0.12	0.65
A1BG-AS1	0	0	0	0	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	0	0	0
A2M	6.64	6.64	7.43	7.43	6.64	7.43	7.98	6.64	7.43	8.2
A2M-AS1	0.57	0.57	1.04	1.04	0.57	1.04	1.45	0.57	1.04	1.03
A2ML1	0	0	0	0	0	0	0	0	0	0
A2ML1-AS1	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0
A4GALT	4.47	4.47	4.7	4.7	4.47	4.7	4.75	4.47	4.7	4.21
A4GNT	0	0	0	0	0	0	0	0	0	0
AAAS	2.44	2.44	3.4	3.4	2.44	3.4	3.59	2.44	3.4	3.49
AACS	1.37	1.37	2.42	2.42	1.37	2.42	0.61	1.37	2.42	0.83
AADAC	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0
AADAT	1.15	1.15	0.25	0.25	1.15	0.25	1.63	1.15	0.25	0.97
AAED1	3.57	3.57	3.29	3.29	3.57	3.29	3.11	3.57	3.29	3.1
AAGAB	3.01	3.01	3	3	3.01	3	2.68	3.01	3	2.97
AAK1	0	0	0	0	0	0	0	0	0	0
AAMDC	2.01	2.01	2.19	2.19	2.01	2.19	2.57	2.01	2.19	2.13
AAMP	5.32	5.32	5.43	5.43	5.32	5.43	4.89	5.32	5.43	4.93
AANAT	0	0	0	0	0	0	0	0	0	0
AAR2	3.71	3.71	3.91	3.91	3.71	3.91	3.72	3.71	3.91	3.36
AARD	0	0	0	0	0	0	0	0	0	0
AARS	4.27	4.27	5.16	5.16	4.27	5.16	4.51	4.27	5.16	4.46
AARS2	1.54	1.54	1.68	1.68	1.54	1.68	2.04	1.54	1.68	1.64
AARSD1	2.5	2.5	2.55	2.55	2.5	2.55	2.9	2.5	2.55	2.37
AASDH	1.2	1.2	1.65	1.65	1.2	1.65	1.95	1.2	1.65	1.21
AASDHPPT	1.8	1.8	1.94	1.94	1.8	1.94	2.11	1.8	1.94	1.62
AASS	3.77	3.77	3.16	3.16	3.77	3.16	2.54	3.77	3.16	1.99
AATF	3.64	3.64	3.45	3.45	3.64	3.45	3.24	3.64	3.45	3.03
AATK	0	0	1.07	1.07	0	1.07	0	0	1.07	0.42
AATK-AS1	0	0	0	0	0	0	0	0	0	0
AB015752.3	0	0	0	0	0	0	0	0	0	0
AB019440.50	0	0	0	0	0	0	0	0	0	0
ABAT	1.03	1.03	0.74	0.74	1.03	0.74	0	1.03	0.74	0.58
ABCA1	4.52	4.52	2.96	2.96	4.52	2.96	2.96	4.52	2.96	2.74
ABCA10	1.06	1.06	1.17	1.17	1.06	1.17	4.04	1.06	1.17	2.89
ABCA12	0	0	0	0	0	0	0	0	0	0
ABCA13	0	0	0	0	0	0	0	0	0	0
ABCA2	3	3	2.91	2.91	3	2.91	2.48	3	2.91	3.09
ABCA3	1.72	1.72	1.65	1.65	1.72	1.65	1.91	1.72	1.65	1.1
ABCA4	0	0	0	0	0	0	0	0	0	0
ABCA5	2.75	2.75	2.05	2.05	2.75	2.05	2.21	2.75	2.05	2.05
ABCA6	3.46	3.46	2.43	2.43	3.46	2.43	3.64	3.46	2.43	2.78
ABCA7	0.78	0.78	1.54	1.54	0.78	1.54	1.16	0.78	1.54	2.07
ABCA8	1.85	1.85	3.27	3.27	1.85	3.27	4.87	1.85	3.27	3.09
ABCA9	5.68	5.68	4.3	4.3	5.68	4.3	4.56	5.68	4.3	3.77
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0
ABCB1	0	0	0	0	0	0	0.81	0	0	0
ABCB10	2.43	2.43	2.3	2.3	2.43	2.3	2.73	2.43	2.3	2.51
ABCB11	0	0	0	0	0	0	0.17	0	0	0.55
ABCB4	0	0	0	0	0	0	0	0	0	0
ABCB5	0.57	0.57	0	0	0.57	0	0	0.57	0	0
ABCB6	0	0	0	0	0	0	0	0	0	0
ABCB7	3.32	3.32	2.97	2.97	3.32	2.97	3.18	3.32	2.97	3.08
ABCB8	0.45	0.45	1.65	1.65	0.45	1.65	1.43	0.45	1.65	1.66
ABCB9	0	0	0	0	0	0	0	0	0	0
ABCC1	3.04	3.04	3.3	3.3	3.04	3.3	2.76	3.04	3.3	2.65
ABCC10	1.49	1.49	1.79	1.79	1.49	1.79	1.68	1.49	1.79	1.88
ABCC11	0	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0
ABCC2	0.24	0.24	0.75	0.75	0.24	0.75	0.64	0.24	0.75	0.26
ABCC3	1.6	1.6	2.01	2.01	1.6	2.01	0.37	1.6	2.01	3.59
ABCC4	0.86	0.86	0	0	0.86	0	0.24	0.86	0	0.09
ABCC5	0.54	0.54	2.49	2.49	0.54	2.49	2.96	0.54	2.49	3
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0
ABCC9	1.06	1.06	2.73	2.73	1.06	2.73	3.28	1.06	2.73	1.65
ABCD1	2.64	2.64	3.09	3.09	2.64	3.09	2.3	2.64	3.09	3.16
ABCD2	0	0	2.15	2.15	0	2.15	0	0	2.15	0.16
ABCD3	2.47	2.47	2.31	2.31	2.47	2.31	2.4	2.47	2.31	2.3
ABCD4	2.53	2.53	2.53	2.53	2.53	2.53	2.91	2.53	2.53	2.58
ABCE1	2.92	2.92	3.04	3.04	2.92	3.04	2.76	2.92	3.04	2.56
ABCF1	3.87	3.87	4.56	4.56	3.87	4.56	3.88	3.87	4.56	4.01
ABCF2	3.44	3.44	3.8	3.8	3.44	3.8	3.15	3.44	3.8	2.99
ABCF3	3.25	3.25	3.51	3.51	3.25	3.51	3.17	3.25	3.51	3.07
ABCG1	2.69	2.69	2.36	2.36	2.69	2.36	2.5	2.69	2.36	1.56
ABCG2	0	0	0	0	0	0	0.93	0	0	0.2
ABCG4	0	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0	0	0	0
ABHD10	2.09	2.09	2.72	2.72	2.09	2.72	3.07	2.09	2.72	2.62
ABHD11	2.77	2.77	2.67	2.67	2.77	2.67	2.65	2.77	2.67	2.64
ABHD12	4.38	4.38	4.15	4.15	4.38	4.15	3.47	4.38	4.15	4.58
ABHD12B	0	0	0	0	0	0	0	0	0	0
ABHD13	1.47	1.47	1.51	1.51	1.47	1.51	1.93	1.47	1.51	1.76
ABHD14A	1.43	1.43	2.71	2.71	1.43	2.71	2.71	1.43	2.71	2.51
ABHD14B	4.26	4.26	4.75	4.75	4.26	4.75	4.57	4.26	4.75	4.25
ABHD15	2.07	2.07	3.23	3.23	2.07	3.23	1.74	2.07	3.23	2.73
ABHD16A	2.69	2.69	3.32	3.32	2.69	3.32	3.2	2.69	3.32	3.35
