GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous	GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous	GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous	GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous	GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous	GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous	GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous	GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous	GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	GTEX.11DXX.2326.SM.5Q5A2_Adipose.Subcutaneous	GTEX.11DZ1.0226.SM.5A5KF_Adipose.Subcutaneous	GTEX.11EI6.0226.SM.5EQ64_Adipose.Subcutaneous	GTEX.11EM3.2326.SM.5H12B_Adipose.Subcutaneous	GTEX.11EMC.2826.SM.5PNY6_Adipose.Subcutaneous	GTEX.11EQ8.0226.SM.5EQ5G_Adipose.Subcutaneous	GTEX.11EQ9.2526.SM.5HL66_Adipose.Subcutaneous	GTEX.11GS4.2626.SM.5A5LD_Adipose.Subcutaneous	GTEX.11GSO.2326.SM.5A5LX_Adipose.Subcutaneous	GTEX.11H98.0226.SM.5NQ89_Adipose.Subcutaneous	GTEX.11I78.2626.SM.5Q5AI_Adipose.Subcutaneous	GTEX.11LCK.1126.SM.5A5KC_Adipose.Subcutaneous	GTEX.11O72.0226.SM.59869_Adipose.Subcutaneous	GTEX.11OF3.2426.SM.5Q5AS_Adipose.Subcutaneous	GTEX.11ONC.2526.SM.5986W_Adipose.Subcutaneous	GTEX.11P7K.2026.SM.5GU74_Adipose.Subcutaneous	GTEX.11P81.2426.SM.5GU65_Adipose.Subcutaneous	GTEX.11P82.1726.SM.5Q5AT_Adipose.Subcutaneous	GTEX.11PRG.0626.SM.5BC56_Adipose.Subcutaneous	
5S_rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7SK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG	0.31	0.31	0.12	0.12	0.31	0.12	0.19	0.31	0.12	0.65	0.31	0.12	0	0.31	0.12	0	0.31	0.12	0	0.31	0.12	0.7	0.31	0.12	0	0.31	0.12	0	0.31
A1BG-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	6.64	6.64	7.43	7.43	6.64	7.43	7.98	6.64	7.43	8.2	6.64	7.43	7.71	6.64	7.43	7.56	6.64	7.43	7.53	6.64	7.43	7.69	6.64	7.43	7.82	6.64	7.43	8.15	6.64
A2M-AS1	0.57	0.57	1.04	1.04	0.57	1.04	1.45	0.57	1.04	1.03	0.57	1.04	1.02	0.57	1.04	0.66	0.57	1.04	0.5	0.57	1.04	1.59	0.57	1.04	0.69	0.57	1.04	1.73	0.57
A2ML1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	4.47	4.47	4.7	4.7	4.47	4.7	4.75	4.47	4.7	4.21	4.47	4.7	3.98	4.47	4.7	3.82	4.47	4.7	4.08	4.47	4.7	4.3	4.47	4.7	3.2	4.47	4.7	4.88	4.47
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	2.44	2.44	3.4	3.4	2.44	3.4	3.59	2.44	3.4	3.49	2.44	3.4	2.91	2.44	3.4	3.29	2.44	3.4	3.21	2.44	3.4	3.48	2.44	3.4	3.42	2.44	3.4	3.23	2.44
AACS	1.37	1.37	2.42	2.42	1.37	2.42	0.61	1.37	2.42	0.83	1.37	2.42	2.56	1.37	2.42	1.34	1.37	2.42	1.1	1.37	2.42	1.2	1.37	2.42	4	1.37	2.42	0.98	1.37
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52	0	0	0	0	0	0	0	0	2.45	0	0	3.46	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	1.15	1.15	0.25	0.25	1.15	0.25	1.63	1.15	0.25	0.97	1.15	0.25	1.13	1.15	0.25	1.26	1.15	0.25	0.82	1.15	0.25	1.26	1.15	0.25	0.78	1.15	0.25	1.46	1.15
AAED1	3.57	3.57	3.29	3.29	3.57	3.29	3.11	3.57	3.29	3.1	3.57	3.29	2.96	3.57	3.29	3.23	3.57	3.29	3.38	3.57	3.29	3.23	3.57	3.29	3.28	3.57	3.29	2.74	3.57
AAGAB	3.01	3.01	3	3	3.01	3	2.68	3.01	3	2.97	3.01	3	2.72	3.01	3	2.75	3.01	3	2.69	3.01	3	2.58	3.01	3	2.45	3.01	3	2.55	3.01
AAK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAMDC	2.01	2.01	2.19	2.19	2.01	2.19	2.57	2.01	2.19	2.13	2.01	2.19	2.22	2.01	2.19	2.72	2.01	2.19	2.67	2.01	2.19	2.14	2.01	2.19	2.08	2.01	2.19	1.91	2.01
AAMP	5.32	5.32	5.43	5.43	5.32	5.43	4.89	5.32	5.43	4.93	5.32	5.43	5.03	5.32	5.43	5.16	5.32	5.43	5.15	5.32	5.43	4.87	5.32	5.43	5.43	5.32	5.43	4.71	5.32
AANAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
