Sample1	Sample2	Sample3	Sample4	Sample5
5S_rRNA	0	0	0	0	0
7SK	6.0148	4.7463	1.7225	1.3823	4.7458
A1BG	0	0	0	0	0
A1BG-AS1	1.9594	1.4085	2.4026	1.9863	1.7281
A1CF	0	0	0	0	0
A2M	0	0	0	0	0
A2M-AS1	0	0	0	0	0
A2ML1	0	0	0	0	0
A2ML1-AS1	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0
A3GALT2	0	0	0	0	0
A4GALT	0	0	0	0	0
A4GNT	0	0	0	0	0
AAAS	2.7892	2.8456	3.6938	1.7369	2.3142
AACS	1.4151	1.0279	0.0603	1.1014	1.7276
AADAC	0	0	0	0	0
AADACL2	0	0	0	0	0
AADACL3	0	0	0	0	0
AADACL4	0	0	0	0	0
AADAT	0	1.5457	0.2831	0	0
AAED1	0	0	0	0	0
AAGAB	3.3682	3.6807	3.2629	2.2449	3.4542
AAK1	0.6597	1.3917	0.6688	0	0.7299
AAMDC	1.7054	1.391	2.134	0	0.8421
AAMP	4.0734	4.666	4.9259	4.4832	4.2454
AANAT	0	0	0	0	0
AAR2	4.1092	3.6481	3.9734	4.1373	2.7835
AARD	0	0	0	0	0.304
AARS	3.7466	3.3607	4.1506	1.976	3.5387
AARS2	2.6031	2.7557	3.0113	1.6559	2.2141
AARSD1	0	0	0	0	0
AASDH	1.4792	2.0889	1.3363	1.2149	2.8245
AASDHPPT	2.7917	2.2883	1.9442	1.1379	2.2782
AASS	0	0	0	0	0
AATF	4.1627	4.6085	4.6536	3.526	3.8401
AATK	0	0	0	0	0
AATK-AS1	0	0	0	0	0
AB015752.3	0	0	0	0	0
AB019440.50	5.3963	1.0937	6.437	4.1349	6.7309
ABAT	0	0.2401	0	0	0
ABCA1	1.7022	0.5612	2.8184	3.1391	0.6611
ABCA10	0	0	0	0	0
ABCA12	0	0	0	0	0
ABCA13	0	0	0	0	0
ABCA2	0	0	0	1.1555	2.1351
ABCA3	0	0	0	0	0
ABCA4	0.0066	0	0	0	0.6415
ABCA5	0	0.4866	0	0	0.9102
ABCA6	0	0	0	0	0
ABCA7	2.8126	2.6492	3.2753	2.5933	2.9127
ABCA8	0	0	0	0	0
ABCA9	0	0	0	0	0
ABCA9-AS1	1.3521	0	0	0	0
ABCB1	0	0	0	0	0
ABCB10	2.6347	3.7007	2.3152	1.7347	3.7239
ABCB11	0	0	0	0	0
ABCB4	0	0	0	0	0
ABCB5	0	0	0	0	0
ABCB6	0	0	0	0	0
ABCB7	3.8705	4.2762	3.4989	3.5105	3.9997
ABCB8	0.6758	1.0303	1.647	0.4718	1.4331
ABCB9	0	0	0	0.1058	1.0306
ABCC1	5.6317	4.5819	4.9729	5.7376	4.9426
ABCC10	1.3476	1.2702	1.9295	0	1.5219
ABCC11	0	0	0	0	0
ABCC12	0	0	0	0	0
ABCC2	0	0	0	0	0
ABCC3	0	0	0	0	0
ABCC4	1.0413	2.4176	1.2341	0.9534	0
ABCC5	1.7126	1.8055	1.8626	1.8782	1.542
ABCC5-AS1	0	0	0	0	0
ABCC6	0	0	0	0	0
ABCC8	0	0	0	0	0
ABCC9	0	0	0	0	0
ABCD1	1.447	0.9717	1.8587	1.4289	0
ABCD2	0.4286	0	0	0	0
ABCD3	2.7793	3.6565	2.6469	2.6305	3.7163
ABCD4	2.5415	2.8985	2.7195	1.8677	2.5638
ABCE1	4.2182	4.4145	4.1105	3.2626	4.612
ABCF1	4.9335	5.023	5.5589	5.6203	4.5847
ABCF2	3.3244	3.4902	4.3698	3.3251	2.6236
ABCF3	2.3175	3.3339	2.4945	3.5349	2.5614
ABCG1	3.5316	3.4366	2.1971	4.0204	2.2604
ABCG2	0	0.6514	0	0	0
ABCG4	0	0	0	0	0
ABCG5	0	0	0	0	0
ABCG8	0	0	0	0	0
ABHD1	0	0	0	0	0
ABHD10	4.0757	3.1764	3.0895	2.0214	3.2448
ABHD11	2.4003	3.0142	1.9265	1.4695	1.538
ABHD12	3.3169	3.7278	3.501	3.4308	2.6757
ABHD12B	0	0	0	0	0.0414
ABHD13	3.5907	2.8751	2.6277	3.9403	1.6174
ABHD14A	0.575	0.6205	0.8443	0	0
ABHD14A-ACY1	0	0	0	0	0
ABHD14B	4.1922	2.8083	3.7512	3.3274	2.8935
ABHD15	1.7583	1.6798	2.2049	0.7222	1.4652
ABHD16A	0.5624	0.4847	0.9593	0.1935	0
ABHD16B	0	0	0	0	0
ABHD17A	3.0705	2.2709	3.5188	2.1569	2.4204
ABHD17B	5.1829	5.0758	4.276	5.3415	5.4569
ABHD17C	0	0	0	0	0.9797
ABHD2	4.299	3.0472	3.241	3.08	2.752
ABHD3	2.6102	4.1766	2.9234	2.4012	4.1895
ABHD4	1.7271	0	0	0	0
ABHD5	0.2352	2.6655	1.2021	1.7507	2.5362
ABHD6	0	0	0	0	0
ABHD8	2.5502	2.5206	3.0724	2.2382	0
ABI1	4.6567	4.8113	4.6164	4.4919	5.3941
ABI2	2.0837	2.6814	2.3217	2.4164	3.3505
ABI3	2.5188	1.429	1.4877	0	1.1431
ABI3BP	0	0	0	0	0
ABL1	4.5527	4.1967	3.8467	4.2175	3.9184
ABL2	1.3631	1.7429	1.2566	0.7936	2.4864
ABLIM1	2.4539	0.1826	3.0206	2.3814	3.4904
ABLIM2	0	0	0	0	0
ABLIM3	0	0	0	0	0
ABO	0	0	0	0	0
ABR	1.4288	2.2948	1.7252	1.3078	2.0746
ABRA	0	0	0	0	0
ABRACL	5.0279	4.7954	5.6491	4.1997	4.7061
ABT1	4.3449	3.6919	4.0103	4.1478	3.4471
ABTB1	2.1971	2.3005	2.6041	1.5355	1.7491
ABTB2	0.6381	0	0.3909	1.2729	0
AC000032.2	0	0	0	0	0
AC000036.4	0	0	0	0	0
AC000067.1	0	0	0	0	0
AC000068.10	0	0	0	0	0.4108
AC000068.5	0.5745	0.2146	0	0.1917	1.5315
AC000068.9	0.1543	0	0	0	0.802
AC000099.1	0	0	0	0	0
AC000111.3	0	0	0	0	0
AC000111.6	0	0	0	0	0
