GSM329408	GSM329409	GSM329410	GSM329411	GSM329414	GSM329417	GSM329419	GSM329421	GSM329425	GSM329427
A1BG	8.931	8.8973	4.4475	8.7803	7.906	8.793	8.6504	11.2298	10.2128	10.5202
A1BG-AS1	5.7745	2.9782	5.4515	7.0108	5.7232	4.2141	4.7092	6.8688	6.3488	5.7811
A1CF	6.5821	6.396	7.4917	8.5159	6.5036	6.7496	5.3954	6.5388	5.0829	7.2245
A2M	7.2134	6.5176	6.7136	8.8094	6.7902	6.5638	6.6242	5.9462	6.3256	5.8668
A2M-AS1	6.3376	6.0696	6.2206	6.5955	5.8016	5.5764	6.978	6.1798	6.5051	5.6997
A2ML1	5.748	6.1499	6.776	6.7726	5.1214	6.0492	5.4775	6.7393	4.9712	5.9813
A2MP1	5.9775	4.5873	8.0858	6.9578	5.2319	6.0068	4.2641	3.8898	4.6427	7.6489
A4GALT	5.6992	5.5565	6.9648	5.9041	6.5367	4.8371	5.9767	6.7014	3.453	6.1125
A4GNT	6.9976	7.2743	7.0765	6.6502	6.9277	5.0709	7.023	6.7332	6.224	6.4563
AA06	7.1989	6.5277	7.75	8.5981	6.4811	7.2705	6.2865	6.3665	5.6483	6.7008
AAAS	9.8423	8.6149	10.446	8.9729	10.4497	10.0773	7.8975	8.3274	9.0252	8.5423
AACS	9.8612	10.2791	8.3926	7.3875	10.9937	9.8093	8.126	10.0279	9.6854	9.1613
AACSP1	6.3447	5.2217	5.937	8.7389	5.7367	5.2498	6.1192	5.1623	2.6551	5.3913
AADAC	5.0442	4.6234	3.6842	6.228	4.6263	4.7593	4.8433	3.4985	4.0696	5.4165
AADACL2	4.7153	5.9512	5.5356	8.0009	4.4373	4.8656	4.8494	4.1457	4.7067	4.4437
AADACP1	4.6829	4.1572	6.1236	7.6164	4.9535	3.8686	4.7909	3.7542	3.269	6.7454
AADAT	5.2432	7.1321	6.0185	8.2116	5.3136	3.8007	5.293	2.6465	4.2479	6.1686
AAED1	9.4575	9.9269	7.6858	10.1261	10.1799	8.4148	10.2304	11.5817	9.8603	10.2573
AAGAB	10.945	9.5916	10.4914	9.9302	10.4492	10.335	9.1991	10.2833	10.2972	10.0225
AAK1	8.9266	11.3982	9.6899	12.0748	9.7183	9.2646	12.8456	13.3028	11.4112	12.8951
AAMDC	10.1429	8.8625	8.903	9.3926	9.2425	9.0837	8.2608	10.2078	10.2603	9.5571
AAMP	10.4789	9.4147	9.972	9.798	10.9022	9.9893	8.3416	9.472	9.8984	9.6069
AANAT	5.0074	3.7075	5.3639	5.8847	5.3785	5.5488	3.4554	4.7382	4.0161	3.8469
AAR2	10.1897	10.546	9.9391	9.3171	10.372	10.4056	9.7703	9.7009	10.4436	9.919
AARS	12.3391	10.0472	10.7567	10.7678	11.8836	11.381	8.8561	10.2868	10.8871	10.9293
AARS2	9.1173	7.8476	8.2587	8.5156	9.5731	8.6267	7.7665	8.2871	8.835	8.4493
AARSD1 /// PTGES3L /// PTGES3L-AARSD1	10.0409	9.7636	9.4868	8.8193	9.7972	9.777	8.0326	8.649	8.8455	8.5495
