GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous	GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous	GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous	GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous	GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous	GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous	GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous	GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous	GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous
A1BG	0.2435	0.2435	0.24266	0.24266	0.2435	0.24266	0.229925	0.2435	0.24266	0.26167
A1BG-AS1	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
A1CF	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
A2M	0.9528525	0.9528525	0.9727	0.9727	0.9528525	0.9727	0.98388	0.9528525	0.9727	0.98626
A2M-AS1	0.2604575	0.2604575	0.30605	0.30605	0.2604575	0.30605	0.3235	0.2604575	0.30605	0.29358
A2ML1	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
A4GALT	0.78852	0.78852	0.81363	0.81363	0.78852	0.81363	0.82366	0.78852	0.81363	0.75656
A4GNT	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AAAS	0.47206	0.47206	0.63317	0.63317	0.47206	0.63317	0.65872	0.47206	0.63317	0.64907
AACS	0.33264	0.33264	0.46737	0.46737	0.33264	0.46737	0.25466	0.33264	0.46737	0.27621
AADAC	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AADACL2	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AADAT	0.311725	0.311725	0.24968	0.24968	0.311725	0.24968	0.34252	0.311725	0.24968	0.28783
AAED1	0.653125	0.653125	0.61405	0.61405	0.653125	0.61405	0.57266	0.653125	0.61405	0.585455
AAGAB	0.56171	0.56171	0.564465	0.564465	0.56171	0.564465	0.4959	0.56171	0.564465	0.56202
AAK1	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AAMDC	0.408825	0.408825	0.43499	0.43499	0.408825	0.43499	0.477575	0.408825	0.43499	0.41948
AAMP	0.87798	0.87798	0.88564	0.88564	0.87798	0.88564	0.83789	0.87798	0.88564	0.84223
AANAT	0.09059	0.09059	0.09435	0.09435	0.09059	0.09435	0.08815	0.09059	0.09435	0.088555
AAR2	0.67741	0.67741	0.70779	0.70779	0.67741	0.70779	0.68138	0.67741	0.70779	0.627685
