Sample1	Sample2	Sample3	Sample4	Sample5
A1BG	0.11898	0.11846	0.12279	0.1376	0.11786
A1BG-AS1	0.45503	0.398445	0.53449	0.556	0.44083
A1CF	0.11898	0.11846	0.12279	0.1376	0.11786
A2M	0.11898	0.11846	0.12279	0.1376	0.11786
A2M-AS1	0.11898	0.11846	0.12279	0.1376	0.11786
A2ML1	0.11898	0.11846	0.12279	0.1376	0.11786
A4GALT	0.11898	0.11846	0.12279	0.1376	0.11786
A4GNT	0.11898	0.11846	0.12279	0.1376	0.11786
AAAS	0.58263	0.58558	0.75023	0.5233325	0.52179
AACS	0.3950375	0.36467	0.315225	0.450655	0.44056
AADAC	0.11898	0.11846	0.12279	0.1376	0.11786
AADACL2	0.11898	0.11846	0.12279	0.1376	0.11786
AADAT	0.11898	0.412595	0.325185	0.1376	0.11786
AAED1	0.11898	0.11846	0.12279	0.1376	0.11786
AAGAB	0.68769	0.72164	0.67958	0.58728	0.709575
AAK1	0.33614	0.39716	0.349385	0.1376	0.34384
AAMDC	0.424185	0.39697	0.49762	0.1376	0.352335
AAMP	0.80431	0.86255	0.89022	0.86942	0.8311
AANAT	0.11898	0.11846	0.12279	0.1376	0.11786
AAR2	0.80914	0.71684	0.78891	0.83571	0.59379
AARS	0.753245	0.669765	0.81011	0.554685	0.72366
AARS2	0.549095	0.57176	0.634975	0.51244	0.50784
AASDH	0.40113	0.47469	0.4024375	0.46389	0.60105
AASDHPPT	0.58321	0.5021075	0.46991	0.455535	0.51628
AASS	0.11898	0.11846	0.12279	0.1376	0.11786
AATF	0.815305	0.85533	0.86513	0.76469	0.772935
AATK	0.11898	0.11846	0.12279	0.1376	0.11786
ABAT	0.11898	0.31356	0.12279	0.1376	0.11786
ABCA1	0.4240125	0.33217	0.60256	0.71192	0.338665
ABCA12	0.11898	0.11846	0.12279	0.1376	0.11786
ABCA13	0.11898	0.11846	0.12279	0.1376	0.11786
ABCA2	0.11898	0.11846	0.12279	0.45749	0.496655
ABCA3	0.11898	0.11846	0.12279	0.1376	0.11786
ABCA4	0.11898	0.11846	0.12279	0.1376	0.336735
ABCA5	0.11898	0.32682	0.12279	0.1376	0.35847
ABCA6	0.11898	0.11846	0.12279	0.1376	0.11786
ABCA7	0.58737	0.55593	0.6815	0.63652	0.614895
ABCA8	0.11898	0.11846	0.12279	0.1376	0.11786
ABCA9	0.11898	0.11846	0.12279	0.1376	0.11786
ABCB1	0.11898	0.11846	0.12279	0.1376	0.11786
ABCB10	0.55405	0.72519	0.52271	0.52299	0.75328
ABCB11	0.11898	0.11846	0.12279	0.1376	0.11786
ABCB4	0.11898	0.11846	0.12279	0.1376	0.11786
ABCB5	0.11898	0.11846	0.12279	0.1376	0.11786
ABCB6	0.11898	0.11846	0.12279	0.1376	0.11786
ABCB7	0.77416	0.81429	0.719255	0.7629	0.797675
ABCB8	0.3375075	0.364825	0.4348775	0.38867	0.4053325
ABCB9	0.11898	0.11846	0.12279	0.35974	0.36827
ABCC1	0.94406	0.85246	0.8935	0.94814	0.90465
ABCC10	0.389005	0.385525	0.468175	0.1376	0.4156875
ABCC11	0.11898	0.11846	0.12279	0.1376	0.11786
ABCC12	0.11898	0.11846	0.12279	0.1376	0.11786
ABCC2	0.11898	0.11846	0.12279	0.1376	0.11786
ABCC3	0.11898	0.11846	0.12279	0.1376	0.11786
ABCC4	0.363855	0.522505	0.39246	0.434955	0.11786
ABCC5	0.42494	0.4409575	0.45992	0.54214	0.41799
ABCC8	0.11898	0.11846	0.12279	0.1376	0.11786
ABCC9	0.11898	0.11846	0.12279	0.1376	0.11786
ABCD1	0.397975	0.360475	0.459235	0.4862925	0.11786
ABCD2	0.32144	0.11846	0.12279	0.1376	0.11786
ABCD3	0.5808125	0.71869	0.57377	0.64145	0.75258
ABCD4	0.5375875	0.59458	0.58593	0.5403575	0.56036
ABCE1	0.82193	0.83061	0.80599	0.72984	0.8747
ABCF1	0.89927	0.89927	0.93072	0.94454	0.87224
ABCF2	0.67977	0.69075	0.83624	0.738125	0.56869
ABCF3	0.50286	0.664755	0.54878	0.765725	0.559725
ABCG1	0.71508	0.682825	0.50619	0.82428	0.51427
ABCG2	0.11898	0.3380325	0.12279	0.1376	0.11786
ABCG4	0.11898	0.11846	0.12279	0.1376	0.11786
ABCG5	0.11898	0.11846	0.12279	0.1376	0.11786
ABCG8	0.11898	0.11846	0.12279	0.1376	0.11786
ABHD1	0.11898	0.11846	0.12279	0.1376	0.11786
ABHD10	0.80482	0.639615	0.64867	0.56028	0.67381
ABHD11	0.514705	0.61309	0.467695	0.4916025	0.417435
ABHD12	0.678	0.72997	0.7195	0.75321	0.57643
ABHD13	0.72574	0.59061	0.57113	0.81633	0.4266775
ABHD14B	0.81904	0.57948	0.75861	0.738425	0.611815
ABHD15	0.42965	0.42728	0.50761	0.41011	0.408635
ABHD16A	0.3299	0.32682	0.369265	0.365335	0.11786
ABHD16B	0.11898	0.11846	0.12279	0.1376	0.11786
ABHD17A	0.63428	0.49962	0.72228	0.57525	0.53774
ABHD17B	0.917135	0.90287	0.82419	0.93184	0.94118
ABHD17C	0.11898	0.11846	0.12279	0.1376	0.363855
ABHD2	0.83257	0.61883	0.6753375	0.703755	0.588625
ABHD3	0.55035	0.80127	0.62087	0.608685	0.82273
ABHD4	0.426525	0.11846	0.12279	0.1376	0.11786
ABHD5	0.312075	0.55884	0.3896975	0.52579	0.55628
ABHD6	0.11898	0.11846	0.12279	0.1376	0.11786
ABHD8	0.53925	0.53748	0.646075	0.5864325	0.11786
ABI1	0.87372	0.880115	0.86116	0.870425	0.93743
ABI2	0.47002	0.56036	0.523795	0.61116	0.69198
ABI3	0.53461	0.40113	0.417285	0.1376	0.378055
ABI3BP	0.11898	0.11846	0.12279	0.1376	0.11786
ABL1	0.86245	0.804265	0.772935	0.84397	0.78443
ABL2	0.3904	0.43391	0.39441	0.41836	0.54822
ABLIM1	0.523555	0.30984	0.63707	0.60579	0.71535
ABLIM2	0.11898	0.11846	0.12279	0.1376	0.11786
ABLIM3	0.11898	0.11846	0.12279	0.1376	0.11786
ABO	0.11898	0.11846	0.12279	0.1376	0.11786
ABR	0.39628	0.50339	0.4441725	0.47242	0.48758
ABRA	0.11898	0.11846	0.12279	0.1376	0.11786
ABRACL	0.90652	0.877515	0.93474	0.842025	0.884135
ABT1	0.838585	0.72376	0.79336	0.83715	0.70806
ABTB1	0.48699	0.50435	0.567545	0.49962	0.44267
ABTB2	0.3350725	0.11846	0.33309	0.469	0.11786
AC000111.3	0.11898	0.11846	0.12279	0.1376	0.11786
AC002059.10	0.11898	0.11846	0.12279	0.1376	0.11786
AC002064.5	0.11898	0.11846	0.12279	0.1376	0.11786
AC003973.4	0.11898	0.11846	0.12279	0.1376	0.11786
AC005162.4	0.11898	0.11846	0.12279	0.1376	0.11786
AC005224.2	0.11898	0.11846	0.12279	0.1376	0.11786
AC005256.1	0.11898	0.11846	0.12279	0.1376	0.11786
AC005306.3	0.11898	0.34104	0.37821	0.369935	0.43375
AC005498.3	0.11898	0.11846	0.12279	0.1376	0.11786
AC005523.3	0.11898	0.11846	0.12279	0.1376	0.11786
AC005537.2	0.11898	0.11846	0.12279	0.1376	0.11786
AC005592.3	0.11898	0.11846	0.12279	0.1376	0.11786
AC005606.14	0.11898	0.11846	0.12279	0.1376	0.11786
AC005785.2	0.11898	0.11846	0.12279	0.1376	0.11786
AC006026.13	0.59061	0.11846	0.63314	0.480175	0.11786
AC006129.2	0.72851	0.11846	0.39358	0.1376	0.54867
AC006538.1	0.11898	0.11846	0.12279	0.1376	0.11786
AC007292.3	0.11898	0.319235	0.12279	0.1376	0.359515
AC007349.5	0.11898	0.11846	0.12279	0.1376	0.11786
AC007362.3	0.11898	0.11846	0.12279	0.1376	0.11786
AC007365.3	0.3897925	0.11846	0.38673	0.47189	0.36794
AC007389.3	0.11898	0.11846	0.12279	0.1376	0.11786
AC007401.2	0.11898	0.11846	0.12279	0.1376	0.11786
AC007680.2	0.11898	0.11846	0.12279	0.1376	0.11786
AC007787.2	0.11898	0.11846	0.12279	0.1376	0.11786
AC008088.4	0.11898	0.11846	0.12279	0.1376	0.11786
AC008746.12	0.11898	0.11846	0.12279	0.1376	0.11786
AC008753.4	0.11898	0.11846	0.12279	0.1376	0.11786
AC009120.6	0.44163	0.62381	0.49483	0.585455	0.58565
AC009133.15	0.11898	0.11846	0.12279	0.1376	0.306355
AC009502.4	0.11898	0.11846	0.12279	0.1376	0.11786
AC010145.4	0.11898	0.11846	0.12279	0.1376	0.11786
AC010524.4	0.11898	0.11846	0.12279	0.1376	0.11786
AC012065.7	0.11898	0.11846	0.12279	0.1376	0.11786
AC012360.6	0.11898	0.11846	0.12279	0.1376	0.11786
AC012499.1	0.11898	0.11846	0.12279	0.1376	0.11786
AC012531.25	0.11898	0.11846	0.12279	0.1376	0.11786
AC013463.2	0.11898	0.11846	0.95743	0.93785	0.624555
AC013733.4	0.11898	0.11846	0.12279	0.1376	0.11786
AC016831.7	0.11898	0.11846	0.12279	0.1376	0.11786
AC016999.2	0.11898	0.11846	0.12279	0.1376	0.11786
AC017002.2	0.46106	0.83257	0.53261	0.627535	0.95207
AC017104.6	0.30647	0.11846	0.12279	0.1376	0.11786
AC018755.17	0.11898	0.11846	0.12279	0.1376	0.11786
AC018766.6	0.11898	0.11846	0.12279	0.1376	0.3171325
AC018816.3	0.11898	0.11846	0.12279	0.1376	0.11786
AC024560.2	0.11898	0.11846	0.12279	0.1376	0.11786
AC025442.3	0.11898	0.11846	0.12279	0.1376	0.11786
AC064852.4	0.11898	0.11846	0.12279	0.1376	0.11786
AC067956.1	0.11898	0.11846	0.12279	0.1376	0.11786
AC068039.4	0.11898	0.11846	0.12279	0.1376	0.11786
AC068138.1	0.11898	0.11846	0.12279	0.1376	0.11786
AC068831.3	0.11898	0.322795	0.12279	0.1376	0.11786
AC073283.7	0.43128	0.56889	0.3309125	0.1376	0.403055
AC073321.4	0.11898	0.11846	0.12279	0.1376	0.11786
AC074212.6	0.11898	0.11846	0.12279	0.1376	0.11786
AC079305.10	0.320035	0.35664	0.369415	0.56154	0.425065
AC079767.4	0.11898	0.11846	0.12279	0.1376	0.11786
AC079807.4	0.11898	0.11846	0.12279	0.1376	0.11786
AC083843.1	0.11898	0.11846	0.12279	0.1376	0.11786
AC083949.1	0.3255	0.11846	0.12279	0.1376	0.11786
AC084219.3	0.11898	0.11846	0.12279	0.1376	0.11786
AC087501.1	0.11898	0.11846	0.12279	0.1376	0.11786
AC090627.1	0.11898	0.11846	0.12279	0.1376	0.11786
AC091133.1	0.11898	0.4533025	0.37574	0.4009	0.3713
AC091633.3	0.344515	0.11846	0.12279	0.367585	0.375805
AC092192.1	0.11898	0.11846	0.12279	0.1376	0.11786
AC092620.2	0.11898	0.11846	0.12279	0.1376	0.11786
AC092660.1	0.11898	0.11846	0.12279	0.1376	0.11786
AC092667.2	0.11898	0.11846	0.12279	0.1376	0.11786
AC100830.4	0.11898	0.11846	0.12279	0.1376	0.11786
AC104667.3	0.11898	0.11846	0.12279	0.1376	0.11786
AC106801.1	0.11898	0.11846	0.12279	0.1376	0.11786
AC108056.1	0.11898	0.11846	0.12279	0.1376	0.11786
AC114730.11	0.11898	0.11846	0.12279	0.1376	0.11786
AC114752.3	0.11898	0.11846	0.12279	0.1376	0.11786
AC124997.1	0.11898	0.11846	0.12279	0.1376	0.11786
AC139100.3	0.11898	0.11846	0.12279	0.1376	0.11786
AC141928.1	0.11898	0.11846	0.12279	0.1376	0.11786
AC144652.1	0.63619	0.597	0.525135	0.66383	0.67152
AC145343.2	0.11898	0.11846	0.12279	0.1376	0.11786
ACAA1	0.6209	0.58001	0.70994	0.5930675	0.5254
ACAA2	0.337005	0.11846	0.603285	0.507165	0.48929
ACACA	0.420425	0.58815	0.48139	0.507375	0.678925
ACACB	0.11898	0.44267	0.3479975	0.37264	0.36958
ACAD10	0.42867	0.37746	0.46213	0.378815	0.379335
ACAD8	0.450845	0.45079	0.4738225	0.4333425	0.53593
ACAD9	0.590715	0.73073	0.726475	0.55143	0.66848
ACADL	0.11898	0.11846	0.12279	0.1376	0.11786
ACADM	0.58713	0.59331	0.80396	0.58633	0.662045
ACADS	0.70698	0.488055	0.72249	0.58164	0.3750325
ACADSB	0.3390775	0.11846	0.328355	0.361015	0.331925
ACADVL	0.93184	0.85768	0.92354	0.89414	0.95373
ACAN	0.11898	0.11846	0.12279	0.1376	0.11786
ACAP1	0.92418	0.84131	0.91475	0.8153625	0.92657
ACAP2	0.70213	0.70999	0.57668	0.67392	0.811325
ACAP3	0.43171	0.56434	0.58979	0.60405	0.693305
ACAT1	0.4856725	0.50946	0.45387	0.450085	0.52969
ACAT2	0.67038	0.73419	0.818205	0.68357	0.772935
ACBD3	0.72997	0.83119	0.580565	0.87729	0.83517
ACBD4	0.430545	0.339835	0.40486	0.1376	0.3817225
ACBD5	0.66063	0.624965	0.55267	0.56841	0.68428
ACBD6	0.89278	0.85288	0.854205	0.774575	0.792
ACCS	0.32577	0.11846	0.12279	0.1376	0.11786
ACD	0.520365	0.487885	0.60084	0.615385	0.4601
ACE	0.11898	0.11846	0.12279	0.1376	0.11786
ACE2	0.11898	0.11846	0.12279	0.1376	0.11786
ACER1	0.11898	0.11846	0.323415	0.1376	0.11786
ACER3	0.35602	0.4216475	0.33484	0.39125	0.51828
ACHE	0.11898	0.11846	0.12279	0.1376	0.11786
ACIN1	0.81011	0.89278	0.89315	0.92619	0.88132
ACKR2	0.11898	0.11846	0.12279	0.1376	0.11786
ACKR3	0.11898	0.11846	0.12279	0.1376	0.305525
ACKR4	0.11898	0.11846	0.12279	0.1376	0.11786
ACLY	0.93039	0.90932	0.93894	0.86075	0.90227
ACMSD	0.11898	0.11846	0.12279	0.1376	0.11786
ACN9	0.43693	0.523285	0.56889	0.42107	0.444555
ACO1	0.11898	0.408825	0.45826	0.1376	0.372245
ACO2	0.90973	0.87147	0.90627	0.903255	0.77004
ACOT11	0.11898	0.11846	0.12279	0.1376	0.11786
ACOT12	0.11898	0.11846	0.12279	0.1376	0.719805
ACOT13	0.3999975	0.38437	0.68539	0.53777	0.37032
ACOT4	0.11898	0.11846	0.12279	0.1376	0.11786
ACOT6	0.11898	0.11846	0.12279	0.1376	0.11786
ACOT7	0.62522	0.7667	0.60619	0.49652	0.45448
ACOT8	0.483795	0.47493	0.5408225	0.44645	0.3897925
ACOT9	0.41803	0.464385	0.4087775	0.1376	0.606685
ACOX1	0.661075	0.533355	0.67568	0.60357	0.619435
ACOX2	0.11898	0.11846	0.12279	0.1376	0.11786
ACOX3	0.451075	0.39671	0.49283	0.41721	0.365625
ACOXL	0.11898	0.11846	0.12279	0.1376	0.11786
ACP1	0.86942	0.8891	0.84459	0.89817	0.78903
ACP2	0.5447	0.41084	0.47473	0.55196	0.3885425
ACP5	0.63232	0.32413	0.12279	0.1376	0.11786
ACP6	0.35221	0.3419575	0.338265	0.1376	0.30875
ACPP	0.11898	0.11846	0.12279	0.1376	0.11786
ACPT	0.11898	0.11846	0.12279	0.1376	0.11786
ACR	0.11898	0.11846	0.12279	0.1376	0.11786
ACRBP	0.11898	0.11846	0.12279	0.1376	0.31795
ACRC	0.11898	0.4012	0.12279	0.459665	0.64432
ACRV1	0.11898	0.11846	0.12279	0.1376	0.11786
ACSBG1	0.11898	0.11846	0.12279	0.1376	0.11786
ACSBG2	0.11898	0.11846	0.12279	0.1376	0.11786
ACSF2	0.520935	0.46926	0.12279	0.1376	0.307955
ACSF3	0.473865	0.4307575	0.64242	0.83479	0.437915
ACSL1	0.40482	0.352015	0.32682	0.40057	0.46737
ACSL3	0.60645	0.68894	0.54859	0.543505	0.7829425
ACSL4	0.63506	0.6295	0.54774	0.55256	0.71869
ACSL5	0.57643	0.527195	0.58397	0.1376	0.4446725
ACSL6	0.11898	0.11846	0.12279	0.1376	0.11786
ACSM1	0.11898	0.11846	0.12279	0.1376	0.11786
ACSM2A	0.11898	0.11846	0.12279	0.1376	0.11786
ACSM2B	0.11898	0.11846	0.12279	0.1376	0.11786
ACSM3	0.11898	0.11846	0.12279	0.1376	0.11786
ACSM5	0.11898	0.11846	0.12279	0.1376	0.11786
ACSS1	0.75096	0.668915	0.68516	0.543295	0.67218
ACSS2	0.473865	0.11846	0.33453	0.3669075	0.320745
ACSS3	0.11898	0.11846	0.12279	0.1376	0.11786
ACTA1	0.11898	0.11846	0.12279	0.1376	0.4228425
ACTA2	0.11898	0.11846	0.12279	0.1376	0.11786
ACTA2-AS1	0.11898	0.3038775	0.12279	0.1376	0.11786
ACTB	0.99918	0.99764	0.99881	0.99474	0.99731
ACTC1	0.11898	0.11846	0.12279	0.1376	0.11786
ACTG2	0.11898	0.11846	0.12279	0.1376	0.11786
ACTL10	0.11898	0.11846	0.12279	0.1376	0.11786
ACTL6A	0.70041	0.64867	0.781275	0.489565	0.688865
ACTL6B	0.11898	0.11846	0.12279	0.1376	0.11786
ACTL7A	0.11898	0.11846	0.12279	0.1376	0.11786
ACTL7B	0.11898	0.11846	0.12279	0.1376	0.11786
ACTL8	0.11898	0.11846	0.12279	0.1376	0.11786
ACTL9	0.11898	0.11846	0.12279	0.1376	0.11786
ACTN1	0.688865	0.38651	0.3923225	0.389295	0.72904
ACTN2	0.11898	0.11846	0.12279	0.1376	0.11786
ACTN4	0.5926	0.78787	0.663925	0.63902	0.64269
ACTR10	0.59126	0.62282	0.69583	0.533675	0.55021
ACTR1A	0.92124	0.913265	0.92657	0.94209	0.79217
ACTR1B	0.90562	0.84582	0.89899	0.84257	0.84725
ACTR2	0.95245	0.94053	0.92971	0.91432	0.96304
ACTR3	0.75343	0.81834	0.80724	0.711175	0.81383
ACTR3B	0.11898	0.11846	0.336895	0.1376	0.11786
ACTR3C	0.31367	0.11846	0.12279	0.1376	0.11786
ACTR5	0.58617	0.51418	0.559725	0.737775	0.63021
ACTR6	0.55101	0.48847	0.63232	0.506645	0.477735
ACTR8	0.53529	0.54206	0.44135	0.50339	0.47403
ACTRT2	0.11898	0.11846	0.12279	0.1376	0.11786
ACTRT3	0.11898	0.11846	0.12279	0.1376	0.11786
ACVR1	0.32604	0.11846	0.12279	0.1376	0.11786
ACVR1B	0.532655	0.44205	0.48893	0.52909	0.45482
ACVR1C	0.11898	0.11846	0.12279	0.1376	0.11786
ACVR2A	0.11898	0.11846	0.12279	0.1376	0.11786
ACVR2B	0.47531	0.50855	0.505135	0.48008	0.6898325
ACVR2B-AS1	0.50611	0.11846	0.396095	0.42535	0.338895
ACVRL1	0.11898	0.11846	0.12279	0.1376	0.11786
ACY1	0.11898	0.11846	0.12279	0.1376	0.11786
ACY3	0.4205925	0.62473	0.12279	0.1376	0.32618
ACYP1	0.56509	0.6398	0.637215	0.3741575	0.60581
ADA	0.97918	0.98565	0.98599	0.94043	0.96537
ADAD1	0.11898	0.11846	0.12279	0.1376	0.11786
ADAD2	0.11898	0.11846	0.12279	0.1376	0.11786
ADAL	0.36633	0.34878	0.349635	0.1376	0.4017775
ADAM10	0.86781	0.86767	0.70465	0.691	0.928055
ADAM11	0.11898	0.11846	0.12279	0.1376	0.11786
ADAM12	0.11898	0.11846	0.12279	0.1376	0.11786
ADAM15	0.30647	0.11846	0.12279	0.1376	0.11786
ADAM17	0.678165	0.87903	0.59145	0.76167	0.91322
ADAM18	0.11898	0.11846	0.12279	0.1376	0.11786
ADAM19	0.11898	0.11846	0.329255	0.1376	0.3670775
ADAM2	0.11898	0.11846	0.12279	0.1376	0.11786
ADAM20	0.11898	0.11846	0.12279	0.1376	0.11786
ADAM21	0.11898	0.11846	0.12279	0.1376	0.11786
ADAM22	0.11898	0.4046875	0.12279	0.1376	0.430245
ADAM23	0.11898	0.11846	0.12279	0.1376	0.11786
ADAM28	0.11898	0.11846	0.12279	0.1376	0.11786
ADAM30	0.11898	0.11846	0.12279	0.1376	0.11786
ADAM32	0.11898	0.11846	0.12279	0.1376	0.11786
ADAM33	0.11898	0.11846	0.702465	0.60159	0.66349
ADAM6	0.11898	0.11846	0.12279	0.1376	0.11786
ADAM7	0.11898	0.11846	0.12279	0.1376	0.11786
ADAM8	0.396665	0.45837	0.438395	0.4891225	0.43679
ADAM9	0.308575	0.428395	0.450445	0.37642	0.49916
ADAMDEC1	0.11898	0.11846	0.12279	0.1376	0.11786
ADAMTS1	0.11898	0.11846	0.12279	0.1376	0.11786
ADAMTS10	0.11898	0.666115	0.12279	0.363855	0.35276
ADAMTS12	0.11898	0.11846	0.12279	0.1376	0.11786
ADAMTS13	0.344515	0.11846	0.12279	0.1376	0.11786
ADAMTS14	0.11898	0.11846	0.12279	0.1376	0.11786
ADAMTS15	0.11898	0.11846	0.12279	0.1376	0.11786
ADAMTS16	0.11898	0.11846	0.12279	0.1376	0.11786
ADAMTS17	0.11898	0.5753	0.12279	0.69054	0.78779
ADAMTS18	0.11898	0.11846	0.12279	0.1376	0.11786
ADAMTS19	0.598205	0.11846	0.369625	0.1376	0.11786
ADAMTS2	0.11898	0.31743	0.12279	0.1376	0.11786
ADAMTS20	0.11898	0.11846	0.12279	0.1376	0.11786
ADAMTS3	0.11898	0.30701	0.12279	0.1376	0.375305
ADAMTS4	0.11898	0.11846	0.12279	0.1376	0.11786
ADAMTS5	0.11898	0.11846	0.12279	0.1376	0.11786
ADAMTS6	0.39789	0.34484	0.40576	0.393695	0.3817225
ADAMTS7	0.11898	0.11846	0.12279	0.1376	0.11786
ADAMTS8	0.11898	0.11846	0.12279	0.1376	0.11786
ADAMTS9	0.11898	0.11846	0.12279	0.1376	0.11786
ADAMTS9-AS2	0.11898	0.11846	0.12279	0.1376	0.11786
ADAMTSL1	0.11898	0.11846	0.12279	0.1376	0.11786
ADAMTSL2	0.11898	0.4656825	0.12279	0.1376	0.11786
ADAMTSL3	0.11898	0.11846	0.12279	0.1376	0.11786
ADAMTSL4	0.11898	0.11846	0.12279	0.1376	0.11786
ADAMTSL5	0.11898	0.11846	0.12279	0.1376	0.11786
ADAP1	0.11898	0.11846	0.12279	0.1376	0.11786
ADAP2	0.11898	0.11846	0.12279	0.1376	0.11786
ADAR	0.95653	0.95674	0.93885	0.93351	0.95148
ADARB1	0.50705	0.38744	0.454295	0.1376	0.33078
ADARB2	0.11898	0.11846	0.12279	0.1376	0.38894
ADARB2-AS1	0.11898	0.11846	0.12279	0.1376	0.11786
ADAT1	0.6926	0.63002	0.62823	0.59666	0.63257
ADAT2	0.37989	0.39425	0.3439	0.1376	0.4237225
ADAT3	0.11898	0.11846	0.12279	0.1376	0.11786
ADCK1	0.3964025	0.31356	0.3430975	0.1376	0.11786
ADCK2	0.56659	0.61848	0.769605	0.710135	0.48772
