Gene	MembraneAssociated	Dis_Min	Dis_Median	Dis_Mean	Dis_SD	Dis_Max	Dis_NumOutliers	Dis_PercOutliers	Dis_OutliersTopName	Out_Min	Out_Median	Out_Mean	Out_SD	Out_Max	Out_NumOutliers	Out_PercOutliersTop	Out_OutliersTopName	Difference.in.Median	Wilcoxon_Pvalue	HPA.Median	HPA.Mean	HPA....NA.	Protein.Expression.....Low.	Protein.Expression.....Medium.	Protein.Expression.....High.	Potential.Expression.in.Vital.Tissue
A4GALT	Y	0.11786	0.11898	0.123138	0.00831114432554266	0.1376	5	100%	Sample1,Sample2,Sample3,Sample4,Sample5	0.75656	0.801075	0.798882	0.0202884728081955	0.82366	10	NA	GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous,GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous,GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous,GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous,GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous,GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous,GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous,GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous,GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous,GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	-0.682095	0.999264662831706	NA	NaN	100%	NA	NA	NA	NA
A4GNT	Y	0.11786	0.11898	0.123138	0.00831114432554266	0.1376	5	100%	Sample1,Sample2,Sample3,Sample4,Sample5	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.02839	0.00112272815294471	0	0.0851063829787234	17.5%	2	2	0	NA
AAAS	Y	0.52179	0.58263	0.5927125	0.0932843469921401	0.75023	0	0%	NONE	0.47206	0.63317	0.572871	0.0871599085270541	0.65872	10	NA	GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous,GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous,GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous,GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous,GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous,GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous,GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous,GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous,GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous,GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	-0.05054	0.475137693328745	1	1.27659574468085	17.5%	29	21	10	NA
AADAC	Y	0.11786	0.11898	0.123138	0.00831114432554266	0.1376	5	100%	Sample1,Sample2,Sample3,Sample4,Sample5	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.02839	0.00112272815294471	0	0.543478260869565	19.3%	20	5	0	NA
AADACL2	Y	0.11786	0.11898	0.123138	0.00831114432554266	0.1376	5	100%	Sample1,Sample2,Sample3,Sample4,Sample5	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.02839	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA
AAK1	Y	0.1376	0.34384	0.312825	0.100819573868371	0.39716	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.25325	0.00112272815294471	0	0.382978723404255	17.5%	13	4	1	NA
AAMP	Y	0.80431	0.86255	0.85152	0.0338582390268603	0.89022	0	0%	NONE	0.83789	0.87798	0.87346	0.017998978366069	0.88564	10	NA	GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous,GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous,GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous,GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous,GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous,GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous,GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous,GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous,GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous,GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	-0.0154300000000001	0.92425694983893	2	1.97826086956522	19.3%	45	37	9	NA
AARS	Y	0.554685	0.72366	0.702293	0.0968547274659322	0.81011	0	0%	NONE	0.761345	0.79383	0.80804	0.0479743916642572	0.86184	10	NA	GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous,GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous,GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous,GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous,GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous,GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous,GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous,GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous,GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous,GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	-0.0701700000000001	0.992493748526572	2	1.80851063829787	17.5%	47	38	0	NA
AATK	Y	0.11786	0.11898	0.123138	0.00831114432554266	0.1376	5	100%	Sample1,Sample2,Sample3,Sample4,Sample5	0.08815	0.168135	0.193119	0.110207907404344	0.30875	0	NA	 	-0.049155	0.524862306671255	1	0.829787234042553	17.5%	33	5	1	NA
ABCA1	Y	0.33217	0.4240125	0.4818655	0.168637429734623	0.71192	1	20%		0.51942	0.557795	0.647359	0.126781584971074	0.79406	10	NA	GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous,GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous,GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous,GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous,GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous,GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous,GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous,GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous,GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous,GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	-0.1337825	0.953884599364554	2	1.71739130434783	19.3%	44	31	4	NA
ABCA12	Y	0.11786	0.11898	0.123138	0.00831114432554266	0.1376	5	100%	Sample1,Sample2,Sample3,Sample4,Sample5	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.02839	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA
ABCA13	Y	0.11786	0.11898	0.123138	0.00831114432554266	0.1376	5	100%	Sample1,Sample2,Sample3,Sample4,Sample5	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.02839	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA
