Gene	MembraneAssociated	Dis_Min	Dis_Median	Dis_Mean	Dis_SD	Dis_Max	Dis_NumOutliers	Dis_PercOutliers	Dis_OutliersTopName	Out_Min	Out_Median	Out_Mean	Out_SD	Out_Max	Out_NumOutliers	Out_PercOutliersTop	Out_OutliersTopName	Difference.in.Median	Wilcoxon_Pvalue	HPA.Median	HPA.Mean	HPA....NA.	Protein.Expression.....Low.	Protein.Expression.....Medium.	Protein.Expression.....High.	Potential.Expression.in.Vital.Tissue
CTNNBL1	Y	0.61291	0.77823	0.754784	0.0814549813086959	0.81473	0	0%	NONE	0.601755	0.61116	0.614353	0.0137237983080487	0.652495	10	NA	GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous,GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous,GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous,GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous,GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous,GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous,GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous,GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous,GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous,GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.16707	0.000898768007716821	2	1.74468085106383	17.5%	44	38	0	NA
HNRNPH1	Y	0.97064	0.9818	0.98198	0.00987538606840259	0.99442	0	0%	NONE	0.86028	0.86241	0.862867	0.00304838044432338	0.86911	10	NA	GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous,GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous,GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous,GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous,GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous,GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous,GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous,GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous,GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous,GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.11939	0.00101988648016336	3	2.72340425531915	17.5%	47	47	34	NA
CLIC1	Y	0.97822	0.98233	0.984826	0.00572058825646453	0.99123	0	0%	NONE	0.961225	0.96634	0.965032	0.00397224621593373	0.97372	10	NA	GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous,GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous,GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous,GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous,GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous,GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous,GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous,GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous,GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous,GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.0159899999999999	0.00101988648016336	1	1.38297872340426	17.5%	36	23	6	NA
RPS11	Y	0.99799	0.99905	0.998722	0.000480124983728237	0.99905	0	0%	NONE	0.98119	0.9823125	0.9828445	0.00253685331113609	0.98952	10	NA	GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous,GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous,GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous,GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous,GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous,GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous,GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous,GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous,GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous,GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.0167375000000002	0.00108085021947474	0	0.711111111111111	21.1%	21	10	1	NA
HIST1H4H	Y	0.99303	0.99533	0.996218	0.00245260473782472	0.9987	0	0%	NONE	0.282385	0.3147575	0.3347505	0.0566107899241243	0.39658	5	NA	GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous,GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous,GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous,GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous,GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.6805725	0.00110166518979985	2	2.14893617021277	17.5%	46	41	14	NA
EEF1A1	Y	0.99918	0.9995	0.999556	0.000258224708345343	0.9998	0	0%	NONE	0.99731	0.9981325	0.9981355	0.000417082792207442	0.998985	10	NA	GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous,GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous,GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous,GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous,GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous,GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous,GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous,GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous,GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous,GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.00136750000000008	0.00110166518979985	3	2.61702127659574	17.5%	46	46	31	NA
HIST1H4E	Y	0.98652	0.99592	0.993876	0.00417514430888322	0.99649	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.90533	0.00111216563121216	2	2.14893617021277	17.5%	46	41	14	NA
RASGRP1	Y	0.66172	0.671765	0.73924	0.121980432190987	0.94995	0	0%	NONE	0.09435	0.2879725	0.2427975	0.139052408210598	0.471595	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.3837925	0.00111216563121216	NA	NaN	100%	NA	NA	NA	NA
IRF7	Y	0.40812	0.532125	0.495413	0.0776200084224422	0.585075	0	0%	NONE	0.269005	0.2826225	0.287924	0.0310521197433534	0.3713	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.2495025	0.00111216563121216	2	2.40425531914894	17.5%	46	45	22	NA
IGHMBP2	Y	0.46266	0.49363	0.53073	0.104654045311206	0.71264	0	0%	NONE	0.283095	0.295955	0.295045	0.0119895544815755	0.31149	0	NA	 	0.197675	0.00111216563121216	NA	NaN	100%	NA	NA	NA	NA
