Gene	MembraneAssociated	Dis_Min	Dis_Median	Dis_Mean	Dis_SD	Dis_Max	Dis_NumOutliers	Dis_PercOutliers	Dis_OutliersTopName	Out_Min	Out_Median	Out_Mean	Out_SD	Out_Max	Out_NumOutliers	Out_PercOutliersTop	Out_OutliersTopName	Difference.in.Median	Wilcoxon_Pvalue	HPA.Median	HPA.Mean	HPA....NA.	Protein.Expression.....Low.	Protein.Expression.....Medium.	Protein.Expression.....High.	Potential.Expression.in.Vital.Tissue	Rank_Metric
PTPRCAP	Y	0.94089	0.95899	0.959968	0.0153542476207726	0.97886	0	0%	NONE	0.09059	0.09435	0.1231185	0.0651561266860011	0.263125	0	NA	 	0.86464	0.00112272815294471	0	0.297872340425532	17.5%	5	5	4	NA	2.55045055868147
TRAT1	Y	0.76922	0.951235	0.920011	0.0861250277503584	0.98014	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.860645	0.00112272815294471	0	0.127659574468085	17.5%	4	2	0	NA	2.5386664057601
SPN	Y	0.85304	0.92039	0.923648	0.0478520717419842	0.97361	0	0%	NONE	0.08815	0.09247	0.130759	0.122618671085968	0.47968	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.82792	0.00112272815294471	0	0.404255319148936	17.5%	7	7	5	NA	2.44213664246803
CD3G	Y	0.87522	0.9146875	0.9213635	0.0351331662926927	0.95861	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.8240975	0.00112272815294471	0	0.234042553191489	17.5%	5	4	2	NA	2.43086131717594
CD5	Y	0.85204	0.90822	0.913412	0.0455383851272748	0.96872	0	0%	NONE	0.08815	0.09247	0.109531	0.0555144278443801	0.2674	0	NA	 	0.81575	0.00112272815294471	0	0.276595744680851	17.5%	5	5	3	NA	2.40623848450732
LCK	Y	0.97372	0.98328	0.983606	0.00662714719921028	0.99213	0	0%	NONE	0.08815	0.1816775	0.193522	0.112193062897054	0.39365	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.8016025	0.00112272815294471	0	0.297872340425532	17.5%	6	4	4	NA	2.36450724459366
CR2	Y	0.11846	0.87372	0.657882	0.367905507324911	0.94899	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.78313	0.00112272815294471	0	0.25531914893617	17.5%	4	4	4	NA	2.3100184423809
ZAP70	Y	0.9231	0.96698	0.957174	0.0201978583023052	0.97249	0	0%	NONE	0.08815	0.19021375	0.19466225	0.108122626977492	0.3367625	0	NA	 	0.77676625	0.00112272815294471	0	0.297872340425532	17.5%	6	5	3	NA	2.29124712744889
LTB	Y	0.57594	0.86621	0.811402	0.184436515283715	0.98565	0	0%	NONE	0.08815	0.09247	0.106586	0.0462105729123638	0.23795	0	NA	 	0.77374	0.00112272815294471	0	0.170212765957447	17.5%	6	2	0	NA	2.28232052099625
NDST3	Y	0.806095	0.851385	0.860316	0.0570788186852181	0.94255	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.760795	0.00112272815294471	0	0.170212765957447	17.5%	4	4	0	NA	2.24413632586055
CD1A	Y	0.535075	0.84569	0.768014	0.216019628315345	0.96639	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.7551	0.00112272815294471	0	0.0638297872340425	17.5%	1	1	1	NA	2.22733763978115
CD96	Y	0.714375	0.84536	0.837842	0.0800316183298826	0.93876	0	0%	NONE	0.08815	0.09247	0.1078415	0.0501765424415522	0.250505	0	NA	 	0.75289	0.00112272815294471	0	0.127659574468085	17.5%	6	0	0	NA	2.22081874667572
GRAP2	Y	0.62712	0.83543	0.800221	0.0985439206902181	0.868845	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.74484	0.00112272815294471	0	0.212765957446809	17.5%	4	4	2	NA	2.19707345730975
CD6	Y	0.7430025	0.83245	0.8192685	0.0629317196352523	0.90166	0	0%	NONE	0.08815	0.09247	0.107273	0.0483806343373967	0.24482	0	NA	 	0.73998	0.00112272815294471	0	0.276595744680851	17.5%	5	4	4	NA	2.18273779192856
CD7	Y	0.62547	0.94947	0.885544	0.146739246215864	0.97412	0	0%	NONE	0.08815	0.21487875	0.2175865	0.131597304990768	0.368685	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.73459125	0.00112272815294471	0	0.191489361702128	17.5%	5	3	1	NA	2.16684245924896
IGLL1	Y	0.12279	0.82496	0.605829	0.438556467436065	0.99102	2	40%	Sample3,Sample4	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.73437	0.00112272815294471	0	0.0212765957446809	17.5%	1	0	0	NA	2.16618983250707
CD8A	Y	0.41297	0.824515	0.740952	0.1919081538979	0.87049	0	0%	NONE	0.08815	0.09247	0.1131835	0.0670569109890165	0.303925	0	NA	 	0.732045	0.00112272815294471	0	0.319148936170213	17.5%	6	5	4	NA	2.15933172098211
