Gene	MembraneAssociated	Dis_Min	Dis_Median	Dis_Mean	Dis_SD	Dis_Max	Dis_NumOutliers	Dis_PercOutliers	Dis_OutliersTopName	Out_Min	Out_Median	Out_Mean	Out_SD	Out_Max	Out_NumOutliers	Out_PercOutliersTop	Out_OutliersTopName	Difference.in.Median	Wilcoxon_Pvalue	HPA.Median	HPA.Mean	HPA....NA.	Protein.Expression.....Low.	Protein.Expression.....Medium.	Protein.Expression.....High.	Potential.Expression.in.Vital.Tissue	Rank_Metric
MAL	Y	0.90176	0.97501	0.966992	0.0376510447398209	0.99522	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.88442	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	2.60879612683783
PTCRA	Y	0.80157	0.97234	0.926204	0.0786169970807839	0.98652	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.88175	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	2.60092036005434
ITGA4	Y	0.77777	0.96375	0.911677	0.0970206582125683	0.99082	0	0%	NONE	0.08815	0.09247	0.1136035	0.0683843455140786	0.308125	0	NA	 	0.87128	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	2.57003673525165
PTPRCAP	Y	0.94089	0.95899	0.959968	0.0153542476207726	0.97886	0	0%	NONE	0.09059	0.09435	0.1231185	0.0651561266860011	0.263125	0	NA	 	0.86464	0.00112272815294471	0	0.297872340425532	17.5%	5	5	4	NA	2.55045055868147
TRAT1	Y	0.76922	0.951235	0.920011	0.0861250277503584	0.98014	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.860645	0.00112272815294471	0	0.127659574468085	17.5%	4	2	0	NA	2.5386664057601
TNF	Y	0.477195	0.9357	0.853567	0.211987236986098	0.9727	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.84511	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	2.49284242187187
SPN	Y	0.85304	0.92039	0.923648	0.0478520717419842	0.97361	0	0%	NONE	0.08815	0.09247	0.130759	0.122618671085968	0.47968	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.82792	0.00112272815294471	0	0.404255319148936	17.5%	7	7	5	NA	2.44213664246803
CD3G	Y	0.87522	0.9146875	0.9213635	0.0351331662926927	0.95861	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.8240975	0.00112272815294471	0	0.234042553191489	17.5%	5	4	2	NA	2.43086131717594
CD5	Y	0.85204	0.90822	0.913412	0.0455383851272748	0.96872	0	0%	NONE	0.08815	0.09247	0.109531	0.0555144278443801	0.2674	0	NA	 	0.81575	0.00112272815294471	0	0.276595744680851	17.5%	5	5	3	NA	2.40623848450732
ELOVL4	Y	0.75196	0.90419	0.879485	0.0721028345489968	0.9298	0	0%	NONE	0.08815	0.09435	0.1505905	0.0752225761195105	0.23795	0	NA	 	0.80984	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	2.3888056074697
LCK	Y	0.97372	0.98328	0.983606	0.00662714719921028	0.99213	0	0%	NONE	0.08815	0.1816775	0.193522	0.112193062897054	0.39365	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.8016025	0.00112272815294471	0	0.297872340425532	17.5%	6	4	4	NA	2.36450724459366
SLA2	Y	0.52959	0.87638	0.8100775	0.159631178678383	0.91753	0	0%	NONE	0.08815	0.09247	0.117433	0.0804888028168446	0.34642	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.78391	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	2.31231922818282
CR2	Y	0.11846	0.87372	0.657882	0.367905507324911	0.94899	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.78313	0.00112272815294471	0	0.25531914893617	17.5%	4	4	4	NA	2.3100184423809
