Gene	MembraneinEnsembl
A3GALT2	Y
A4GALT	Y
A4GNT	Y
AAAS	Y
AADAC	Y
AADACL2	Y
AADACL4	Y
AAK1	Y
AAMP	Y
AARS	Y
AATK	Y
ABCA1	Y
ABCA10	Y
ABCA12	Y
ABCA13	Y
ABCA2	Y
ABCA3	Y
ABCA4	Y
ABCA5	Y
ABCA6	Y
ABCA7	Y
ABCA8	Y
ABCA9	Y
ABCB1	Y
ABCB10	Y
ABCB11	Y
ABCB4	Y
ABCB5	Y
ABCB6	Y
ABCB7	Y
ABCB8	Y
ABCB9	Y
ABCC1	Y
ABCC10	Y
ABCC11	Y
ABCC12	Y
ABCC2	Y
ABCC3	Y
ABCC4	Y
ABCC5	Y
ABCC6	Y
ABCC8	Y
ABCC9	Y
ABCD1	Y
ABCD2	Y
ABCD3	Y
ABCD4	Y
ABCE1	Y
ABCF1	Y
ABCF2	Y
ABCF3	Y
ABCG1	Y
ABCG2	Y
ABCG4	Y
ABCG5	Y
ABCG8	Y
ABHD1	Y
ABHD12	Y
ABHD13	Y
ABHD14A	Y
ABHD15	Y
ABHD2	Y
ABHD3	Y
ABHD4	Y
ABHD6	Y
ABI1	Y
ABI3	Y
ABL1	Y
ABL2	Y
ABO	Y
ABR	Y
ABRA	Y
ABTB1	Y
ACAA1	Y
ACAA2	Y
ACACB	Y
ACAD11	Y
ACAD9	Y
ACADL	Y
ACADVL	Y
ACAP1	Y
ACAP2	Y
ACAT1	Y
ACBD3	Y
ACBD4	Y
ACBD5	Y
ACCN1	N
ACCN2	N
ACCN3	N
ACCN5	N
ACE	Y
ACE2	Y
ACER1	Y
ACER2	Y
ACER3	Y
ACHE	Y
ACIN1	Y
ACLY	Y
ACMSD	Y
ACO1	N
ACOX1	Y
ACOX3	Y
ACP1	Y
ACP2	Y
ACP5	Y
ACPP	Y
ACRBP	Y
ACSBG2	Y
ACSL1	Y
ACSL3	Y
ACSL4	Y
ACSL5	Y
ACSL6	Y
ACSM1	Y
ACSM2B	Y
ACTB	Y
ACTC1	Y
ACTG1	Y
ACTL6A	Y
ACTN1	Y
ACTN2	Y
ACTN4	N
ACTR1B	Y
ACTR2	Y
ACTR3	Y
ACVR1	Y
ACVR1B	Y
ACVR1C	Y
ACVR2A	Y
ACVR2B	Y
ACVRL1	Y
ACY3	Y
ADA	Y
ADAM10	Y
ADAM11	Y
ADAM12	Y
ADAM15	Y
ADAM17	Y
ADAM18	Y
ADAM19	Y
ADAM2	Y
ADAM20	Y
ADAM21	Y
ADAM22	Y
ADAM23	Y
ADAM28	Y
ADAM29	Y
ADAM30	Y
ADAM32	Y
ADAM33	Y
ADAM7	Y
ADAM8	Y
ADAM9	Y
ADAMTS1	Y
ADAMTS4	Y
ADAP1	Y
ADAP2	Y
ADAR	Y
ADC	N
ADCK2	Y
ADCK5	Y
ADCY1	Y
ADCY10	Y
ADCY2	Y
ADCY3	Y
ADCY4	Y
ADCY5	Y
ADCY6	Y
ADCY7	Y
ADCY8	Y
ADCY9	Y
ADCYAP1R1	Y
ADD1	Y
ADD2	Y
ADD3	Y
ADH1A	Y
ADH1B	Y
ADH1C	Y
ADH7	Y
ADI1	Y
ADIG	Y
ADIPOR1	Y
ADIPOR2	Y
ADORA1	Y
ADORA2A	Y
ADORA2B	Y
ADORA3	Y
ADPGK	Y
ADRA1A	Y
ADRA1B	Y
ADRA1D	Y
ADRA2A	Y
ADRA2B	Y
ADRA2C	Y
ADRB1	Y
ADRB2	Y
ADRB3	Y
ADRBK1	N
ADRBK2	N
ADRM1	Y
ADSS	Y
ADSSL1	Y
AEN	Y
AFAP1	N
AFAP1L2	Y
AFG3L2	Y
AFTPH	Y
AGAP2	Y
AGAP3	Y
AGER	Y
AGFG2	Y
AGK	Y
AGPAT1	Y
AGPAT2	Y
AGPAT3	Y
AGPAT4	Y
AGPAT5	Y
AGPAT6	N
AGPAT9	N
AGPS	Y
AGRN	Y
AGTR1	Y
AGTR2	Y
AGTRAP	Y
AHCTF1	Y
AHCYL1	Y
AHNAK	Y
AHNAK2	Y
AIDA	Y
AIF1	Y
AIF1L	Y
AIFM1	Y
AIFM2	Y
AIFM3	Y
AIG1	Y
AIMP1	Y
AIMP2	Y
AIP	Y
AJAP1	Y
AK1	Y
AK2	Y
AKAP1	Y
AKAP10	Y
AKAP11	Y
AKAP12	Y
AKAP13	Y
AKAP2	N
AKAP5	Y
AKAP6	Y
AKAP7	Y
AKAP8	Y
AKAP9	Y
AKIRIN1	Y
AKNA	Y
AKR1A1	Y
AKT1	Y
AKT2	Y
AKT3	Y
AKTIP	Y
ALAS2	Y
ALCAM	Y
ALDH16A1	Y
ALDH18A1	Y
ALDH1A3	Y
ALDH3A1	Y
ALDH3A2	Y
ALDH3B1	Y
ALDOA	Y
ALG1	Y
ALG10	Y
ALG10B	Y
ALG11	Y
ALG12	Y
ALG13	Y
ALG14	Y
ALG2	Y
ALG3	Y
ALG5	Y
ALG6	Y
ALG8	Y
ALG9	Y
ALK	Y
ALOX12	Y
ALOX15	Y
ALOX15B	Y
ALOX5	Y
ALOX5AP	Y
ALPI	Y
ALPL	Y
ALPP	Y
ALPPL2	Y
ALS2	Y
AMACR	Y
AMBP	Y
AMBRA1	Y
AMFR	Y
AMHR2	Y
AMICA1	N
AMIGO1	Y
AMIGO2	Y
AMIGO3	Y
AMN	Y
AMOT	Y
AMOTL1	Y
AMOTL2	Y
AMPH	Y
ANGPT1	Y
ANGPT2	Y
ANK1	Y
ANK2	Y
ANK3	Y
ANKAR	Y
ANKFY1	Y
ANKH	Y
ANKLE1	Y
ANKLE2	Y
ANKRA2	Y
ANKRD11	Y
ANKRD13A	Y
ANKRD13B	Y
ANKRD13C	Y
ANKRD13D	Y
ANKRD17	Y
ANKRD20A1	Y
ANKRD27	Y
ANKRD28	Y
ANKRD29	Y
ANKRD37	N
ANKRD44	N
ANKRD46	Y
ANKS1B	Y
ANKS4B	Y
ANKZF1	Y
ANO1	Y
ANO10	Y
ANO2	Y
ANO3	Y
ANO4	Y
ANO5	Y
ANO6	Y
ANO7	Y
ANO8	Y
ANO9	Y
ANP32A	N
ANPEP	Y
ANTXR1	Y
ANTXR2	Y
ANXA1	Y
ANXA11	Y
ANXA13	Y
ANXA2	Y
ANXA3	Y
ANXA4	Y
ANXA5	Y
ANXA6	Y
ANXA7	Y
ANXA8	Y
ANXA8L2	N
AOC2	Y
AOC3	Y
AP1B1	Y
AP1G1	Y
AP1G2	Y
AP1M1	Y
AP1M2	Y
AP1S1	Y
AP1S2	Y
AP1S3	Y
AP2A1	Y
AP2A2	Y
AP2B1	Y
AP2M1	Y
AP2S1	Y
AP3B1	Y
AP3B2	Y
AP3D1	Y
AP3M1	Y
AP3M2	Y
AP3S1	Y
AP3S2	Y
AP4B1	Y
AP4E1	Y
AP4M1	Y
AP4S1	Y
APBA1	Y
APBA2	Y
APBA3	N
APBB1	Y
APBB1IP	Y
APBB2	Y
APC	Y
APC2	Y
APCDD1	Y
APCDD1L	Y
APEH	Y
APH1A	Y
APH1B	Y
API5	Y
APLNR	Y
APLP1	Y
APLP2	Y
APOA1	Y
APOB	Y
APOE	Y
APOH	N
APOL1	Y
APOL2	Y
APOL3	Y
APOL6	Y
APOLD1	Y
APOM	Y
APOO	Y
APOOL	Y
APP	Y
APPBP2	Y
APPL1	Y
APPL2	Y
AQP1	Y
AQP10	Y
AQP11	Y
AQP12A	Y
AQP12B	Y
AQP2	Y
AQP3	Y
AQP4	Y
AQP5	Y
AQP6	Y
AQP7	Y
AQP8	Y
AQP9	Y
AQR	Y
AR	Y
ARAP1	Y
ARAP3	Y
ARC	Y
ARCN1	Y
AREG	Y
ARF1	Y
ARF3	Y
ARF4	Y
ARF5	Y
ARF6	Y
ARFGAP2	Y
ARFGAP3	Y
ARFGEF1	Y
ARFGEF2	Y
ARFIP1	Y
ARFIP2	Y
ARFRP1	Y
ARG1	Y
ARHGAP1	Y
ARHGAP10	Y
ARHGAP15	Y
ARHGAP17	Y
ARHGAP18	Y
ARHGAP21	Y
ARHGAP27	Y
ARHGAP5	Y
ARHGDIA	Y
ARHGDIB	Y
ARHGDIG	Y
ARHGEF1	Y
ARHGEF11	Y
ARHGEF12	Y
ARHGEF18	Y
ARHGEF2	Y
ARHGEF4	Y
ARHGEF5	Y
ARHGEF7	Y
ARHGEF9	N
ARID1B	Y
ARID2	Y
ARID3A	Y
ARID3C	Y
ARID4A	Y
ARL1	Y
ARL13B	Y
ARL2	Y
ARL3	Y
ARL4A	Y
ARL4C	Y
ARL4D	Y
ARL6	Y
ARL6IP1	Y
ARL6IP5	Y
ARL6IP6	Y
ARL8A	Y
ARL8B	Y
ARMC10	Y
ARMC7	Y
ARMCX1	Y
ARMCX2	Y
ARMCX3	Y
ARMCX4	Y
ARMCX6	Y
ARPC1A	Y
ARPC1B	N
ARPC2	Y
ARPC3	Y
ARR3	N
ARRB1	Y
ARRB2	Y
ARRDC1	Y
ARRDC2	Y
ARRDC3	Y
ARRDC4	Y
ARSA	Y
ARSD	Y
ARSE	Y
ARSH	Y
ARSJ	Y
ART1	Y
ART3	Y
ART4	Y
ART5	Y
ARV1	Y
ARVCF	Y
ASAH1	Y
ASAH2	Y
ASAP1	Y
ASAP2	Y
ASB11	Y
ASB18	Y
ASB5	Y
ASCC3	Y
ASGR1	Y
ASGR2	Y
ASH1L	N
ASNA1	Y
ASPH	Y
ASPHD1	Y
ASPHD2	Y
ASPRV1	Y
ASPSCR1	Y
ASTL	Y
ASTN1	Y
ASTN2	Y
ATAD1	Y
ATAD3A	Y
ATAD3B	Y
ATCAY	Y
ATF2	Y
ATF4	Y
ATF6	Y
ATF6B	Y
ATG12	Y
ATG16L1	Y
ATG16L2	Y
ATG2A	Y
ATG2B	Y
ATG5	Y
ATG9A	Y
ATG9B	Y
ATIC	Y
ATL1	Y
ATL2	Y
ATL3	Y
ATP10A	Y
ATP10B	Y
ATP10D	Y
ATP11A	Y
ATP11B	Y
ATP11C	Y
ATP12A	Y
ATP13A1	Y
ATP13A2	Y
ATP13A3	Y
ATP13A4	Y
ATP13A5	Y
ATP1A1	Y
ATP1A2	Y
ATP1A3	Y
ATP1A4	Y
ATP1B1	Y
ATP1B2	Y
ATP1B3	Y
ATP1B4	Y
ATP2A1	Y
ATP2A2	Y
ATP2A3	Y
ATP2B1	Y
ATP2B2	Y
ATP2B3	Y
ATP2B4	Y
ATP2C1	Y
ATP2C2	Y
ATP4A	Y
ATP4B	Y
ATP5A1	Y
ATP5B	Y
ATP5C1	Y
ATP5D	Y
ATP5E	Y
ATP5F1	Y
ATP5G1	Y
ATP5G2	Y
ATP5G3	Y
ATP5H	Y
ATP5I	Y
ATP5J	Y
ATP5J2	Y
ATP5L	Y
ATP5O	Y
ATP5S	Y
ATP6AP1	Y
ATP6AP1L	Y
ATP6AP2	Y
ATP6V0A1	Y
ATP6V0A2	Y
ATP6V0A4	Y
ATP6V0B	Y
ATP6V0C	Y
ATP6V0D1	Y
ATP6V0D2	Y
ATP6V0E1	Y
ATP6V0E2	Y
ATP6V1A	Y
ATP6V1B1	Y
ATP6V1B2	Y
ATP6V1C1	Y
ATP6V1C2	Y
ATP6V1D	Y
ATP6V1E1	Y
ATP6V1E2	Y
ATP6V1F	Y
ATP6V1G1	Y
ATP6V1G2	Y
ATP6V1G3	Y
ATP6V1H	Y
ATP7A	Y
ATP7B	Y
ATP8A1	Y
ATP8A2	Y
ATP8B1	Y
ATP8B2	Y
ATP8B3	Y
ATP8B4	Y
ATP9A	Y
ATP9B	Y
ATPIF1	Y
ATRN	Y
ATRNL1	Y
ATXN10	Y
ATXN2	Y
ATXN2L	Y
ATXN3	Y
ATXN3L	Y
AUP1	Y
AURKAIP1	Y
AVEN	Y
AVL9	Y
AVP	Y
AVPR1A	Y
AVPR1B	Y
AVPR2	Y
AWAT1	Y
AWAT2	Y
AXIN1	Y
AXIN2	Y
AXL	Y
AZGP1	Y
AZU1	Y
B2M	Y
B3GALNT1	Y
B3GALNT2	Y
B3GALT1	Y
B3GALT2	Y
B3GALT4	Y
B3GALT5	Y
B3GALT6	Y
B3GALTL	N
B3GAT1	Y
B3GAT2	Y
B3GAT3	Y
B3GNT2	Y
B3GNT3	Y
B3GNT4	Y
B3GNT5	Y
B3GNT6	Y
B3GNT7	Y
B3GNT8	Y
B3GNT9	Y
B4GALNT1	Y
B4GALNT2	Y
B4GALNT3	Y
B4GALNT4	Y
B4GALT1	Y
B4GALT2	Y
B4GALT3	Y
B4GALT4	Y
B4GALT5	Y
B4GALT6	Y
B4GALT7	Y
B9D1	Y
B9D2	Y
BAALC	Y
BACE1	Y
BACE2	Y
BAD	Y
BAG3	Y
BAG4	Y
BAG5	Y
BAI1	N
BAI2	N
BAI3	N
BAIAP2	Y
BAIAP2L1	Y
BAIAP2L2	Y
BAK1	Y
BAMBI	Y
BASP1	Y
BAT5	N
BAX	Y
BBC3	Y
BBS1	Y
BBS2	Y
BBS4	Y
BBS5	Y
BBS7	Y
BBS9	Y
BCAM	Y
BCAN	Y
BCAP29	Y
BCAP31	Y
BCAR1	Y
BCHE	Y
BCL10	Y
BCL2	Y
BCL2A1	Y
BCL2L1	Y
BCL2L10	Y
BCL2L11	Y
BCL2L12	Y
BCL2L13	Y
BCL2L14	Y
BCL2L2	Y
BCL3	Y
BCORL1	Y
BCR	Y
BCS1L	Y
BDH1	Y
BDKRB1	Y
BDKRB2	Y
BECN1	Y
BEGAIN	Y
BEST1	Y
BEST2	Y
BEST3	Y
BEST4	Y
BET1	Y
BET1L	Y
BFAR	Y
BFSP1	Y
BFSP2	Y
BGN	Y
BICD1	Y
BICD2	Y
BID	Y
BIK	Y
BIN1	Y
BIRC2	Y
BIRC3	Y
BIRC6	Y
BLCAP	Y
BLK	Y
BLNK	Y
BLOC1S1	Y
BLOC1S2	Y
BLVRB	Y
BLZF1	Y
BMF	Y
BMP2	Y
BMPR1A	Y
BMPR1B	Y
BMPR2	Y
BMX	Y
BNC2	Y
BNIP1	Y
BNIP2	Y
BNIP3	Y
BNIP3L	Y
BOC	Y
BOK	Y
BPHL	Y
BPI	Y
BRAF	Y
BRAP	Y
BRCA1	Y
BRI3	Y
BRI3BP	Y
BRIP1	Y
BRPF1	Y
BRS3	Y
BSCL2	Y
BSG	Y
BSND	Y
BSPRY	Y
BST1	Y
BST2	Y
BTBD11	Y
BTBD17	Y
BTC	Y
BTK	Y
BTLA	Y
BTN1A1	Y
BTN2A1	Y
BTN2A2	Y
BTN2A3	N
BTN3A1	Y
BTN3A2	Y
BTN3A3	Y
BTNL2	Y
BTNL3	Y
BTNL8	Y
BTNL9	Y
BUB1	Y
BVES	Y
BYSL	Y
BZW1	Y
BZW2	Y
C10orf26	N
C10orf35	Y
C10orf54	N
C10orf76	Y
C10orf90	Y
C10orf99	N
C11orf10	N
C11orf24	Y
C11orf30	N
C11orf87	Y
C12orf23	N
C12orf62	N
C12orf66	Y
C12orf76	Y
C13orf25	N
C13orf36	N
C14orf1	N
C14orf101	N
C14orf132	Y
C14orf180	Y
C14orf2	Y
C14orf37	Y
C15orf48	Y
C15orf62	Y
C16orf52	Y
C16orf54	Y
C16orf58	Y
C16orf62	Y
C16orf79	N
C16orf89	Y
C16orf91	Y
C17orf101	N
C17orf28	N
C17orf61	N
C17orf62	Y
C17orf74	Y
C17orf78	Y
C17orf80	Y
C17orf87	N
C18orf1	N
C18orf15	N
C18orf19	N
C18orf55	N
C18orf8	Y
C19orf12	Y
C19orf18	Y
C19orf24	Y
C19orf26	N
C19orf28	N
C19orf33	Y
C19orf56	N
C19orf59	N
C19orf6	N
C19orf70	Y
C1GALT1	Y
C1GALT1C1	Y
C1orf115	Y
C1orf116	Y
C1orf130	N
C1orf159	Y
C1orf162	Y
C1orf186	Y
C1orf210	Y
C1orf27	Y
C1orf43	Y
C1orf68	Y
C1orf85	N
C1orf9	N
C1orf95	N
C1QBP	Y
C1QTNF1	Y
C1QTNF3	Y
C1QTNF5	Y
C1QTNF6	Y
C20orf141	Y
C20orf173	Y
C20orf24	Y
C20orf46	N
C21orf2	Y
C21orf63	N
C22orf24	N
C2CD2	Y
C2CD2L	Y
C2CD4A	Y
C2CD4B	Y
C2CD4C	Y
C2CD4D	Y
C2orf18	N
C2orf42	Y
C2orf74	Y
C2orf82	Y
C2orf83	Y
C2orf88	Y
C3	Y
C3AR1	Y
C3orf18	Y
C3orf20	Y
C3orf33	Y
C3orf35	Y
C3orf52	Y
C3orf58	Y
C4A	Y
C4B	Y
C4BPA	Y
C4BPB	Y
C4orf3	Y
C4orf32	Y
C4orf34	N
C4orf49	N
C5	Y
C5AR1	Y
C5orf15	Y
C5orf26	N
C5orf42	Y
C6	Y
C6orf10	Y
C6orf129	N
C6orf136	Y
C6orf138	N
C6orf174	N
C6orf191	N
C6orf192	N
C6orf25	N
C6orf50	N
C6orf89	Y
C7	Y
C7orf43	Y
C7orf68	N
C8A	Y
C8B	Y
C8G	Y
C8orf37	Y
C8orf4	Y
C8orf40	N
C8orf55	N
C9	Y
C9orf11	N
C9orf123	N
C9orf125	N
C9orf135	Y
C9orf4	N
C9orf46	N
C9orf57	Y
C9orf7	N
C9orf71	N
C9orf91	N
CA11	Y
CA12	Y
CA14	Y
CA2	Y
CA4	Y
CA9	Y
CABLES1	N
CABP1	Y
CABP2	Y
CABP7	Y
CACHD1	Y
CACNA1A	Y
CACNA1B	Y
CACNA1C	Y
CACNA1D	Y
CACNA1E	Y
CACNA1F	Y
CACNA1G	Y
CACNA1H	Y
CACNA1I	Y
CACNA1S	Y
CACNA2D1	Y
CACNA2D2	Y
CACNA2D3	Y
CACNA2D4	Y
CACNB1	Y
CACNB2	Y
CACNB3	Y
CACNB4	Y
CACNG1	Y
CACNG2	Y
CACNG3	Y
CACNG4	Y
CACNG5	Y
CACNG6	Y
CACNG7	Y
CACNG8	Y
CAD	Y
CADM1	Y
CADM2	Y
CADM3	Y
CADM4	Y
CADPS	Y
CADPS2	Y
CALB1	N
CALCOCO2	Y
CALCR	Y
CALCRL	Y
CALD1	Y
CALHM1	Y
CALHM2	Y
CALHM3	Y
CALM1	Y
CALM2	Y
CALM3	Y
CALML3	N
CALN1	Y
CALR	Y
CALU	Y
CALY	Y
CAMK1G	Y
CAMK2A	Y
CAMK2B	Y
CAMK2D	Y
CAMK2G	Y
CAMK2N1	Y
CAMKV	Y
CAMLG	Y
CAND1	Y
CANT1	Y
CANX	Y
CAP1	Y
CAP2	Y
CAPN1	Y
CAPN10	Y
CAPN2	Y
CAPN3	Y
CAPNS1	Y
CAPNS2	Y
CAPRIN1	Y
CAPRIN2	Y
CAPZA2	Y
CAPZA3	Y
CAPZB	Y
CARD10	N
CARD11	Y
CARD14	Y
CARD9	Y
CASC3	Y
CASC4	Y
CASD1	Y
CASK	Y
CASKIN1	Y
CASKIN2	Y
CASP10	Y
CASP2	Y
CASP3	Y
CASP4	Y
CASP8	Y
CASQ1	Y
CASQ2	Y
CASR	Y
CAST	Y
CAT	Y
CATSPER1	Y
CATSPER2	Y
CATSPER3	Y
CATSPER4	Y
CATSPERB	Y
CATSPERG	Y
CAV1	Y
CAV2	Y
CAV3	Y
CBFA2T3	Y
CBFB	Y
CBL	Y
CBLB	Y
CBLC	Y
CBLN1	Y
CBLN2	N
CBX3	Y
CC2D1A	Y
CCBP2	N
CCDC107	Y
CCDC109B	N
CCDC115	Y
CCDC126	Y
CCDC127	Y
CCDC134	Y
CCDC136	Y
CCDC155	Y
CCDC47	Y
CCDC51	Y
CCDC56	N
CCDC62	Y
CCDC70	Y
CCDC77	Y
CCDC78	Y
CCDC8	Y
CCDC80	Y
CCDC88A	Y
CCDC88B	Y
CCDC90B	Y
CCDC91	Y
CCKAR	Y
CCKBR	Y
CCL26	N
CCNB1	Y
CCNB2	Y
CCND1	Y
CCND2	Y
CCND3	Y
CCNT2	Y
CCNY	Y
CCNYL1	Y
CCPG1	Y
CCR1	Y
CCR10	Y
CCR2	Y
CCR3	Y
CCR4	Y
CCR5	Y
CCR6	Y
CCR7	Y
CCR8	Y
CCR9	Y
CCRL2	Y
CCT3	Y
CD101	Y
CD109	Y
CD14	Y
CD151	Y
CD160	Y
CD163	Y
CD163L1	Y
CD164	Y
CD164L2	Y
CD177	Y
CD180	Y
CD19	Y
CD1A	Y
CD1B	Y
CD1C	Y
CD1D	Y
CD1E	Y
CD2	Y
CD200	Y
CD200R1	Y
CD200R1L	Y
CD207	Y
CD209	Y
CD22	Y
CD226	Y
CD24	N
CD244	Y
CD247	Y
CD248	Y
CD27	Y
CD274	Y
CD276	Y
CD28	Y
CD2AP	Y
CD2BP2	Y
CD300A	Y
CD300C	Y
CD300E	Y
CD300LB	Y
CD300LF	Y
CD300LG	Y
CD302	Y
CD320	Y
CD33	Y
CD34	Y
CD36	Y
CD37	Y
CD38	Y
CD3D	Y
CD3E	Y
CD3EAP	Y
CD3G	Y
CD4	Y
CD40	Y
CD40LG	Y
CD44	Y
CD46	Y
CD47	Y
CD48	Y
CD5	Y
CD52	Y
CD53	Y
CD55	Y
CD58	Y
CD59	Y
CD5L	Y
CD6	Y
CD63	Y
CD68	Y
CD69	Y
CD7	Y
CD70	Y
CD72	Y
CD74	Y
CD79A	Y
CD79B	Y
CD80	Y
CD81	Y
CD82	Y
CD83	Y
CD84	Y
CD86	Y
CD8A	Y
CD8B	Y
CD9	Y
CD93	Y
CD96	Y
CD97	N
CD99	Y
CD99L2	Y
CDAN1	Y
CDC14B	Y
CDC27	Y
CDC42	Y
CDC42BPB	Y
CDC42EP1	Y
CDC42EP2	Y
CDC42EP3	Y
CDC42EP4	Y
CDC42EP5	Y
CDC42SE1	Y
CDC42SE2	Y
CDC5L	Y
CDC73	N
CDCA4	Y
CDCA7L	Y
CDCP1	Y
CDCP2	Y
CDH1	Y
CDH10	Y
CDH11	Y
CDH12	Y
CDH13	Y
CDH15	Y
CDH16	Y
CDH17	Y
CDH18	Y
CDH19	Y
CDH2	Y
CDH20	Y
CDH22	Y
CDH23	Y
CDH24	Y
CDH26	Y
CDH3	Y
CDH4	Y
CDH5	Y
CDH6	Y
CDH7	Y
CDH8	Y
CDH9	Y
CDHR1	Y
CDHR2	Y
CDHR3	Y
CDHR4	Y
CDHR5	Y
CDIPT	Y
CDK1	Y
CDK14	Y
CDK16	Y
CDK4	Y
CDK5	Y
CDK5R1	Y
CDK5R2	Y
CDK5RAP2	Y
CDK5RAP3	Y
CDK9	Y
CDKAL1	Y
CDKL5	Y
CDKN1B	N
CDKN2A	N
CDON	Y
CDR1	N
CDS1	Y
CDS2	Y
CDSN	Y
CDYL	Y
CEACAM1	Y
CEACAM19	Y
CEACAM20	Y
CEACAM21	Y
CEACAM3	Y
CEACAM4	Y
CEACAM5	Y
CEACAM6	Y
CEACAM7	Y
CEACAM8	Y
CECR6	N
CELSR1	Y
CELSR2	Y
CELSR3	Y
CEND1	Y
CENPE	Y
CENPJ	Y
CEP170	Y
CEP350	Y
CEP55	Y
CEPT1	Y
CERCAM	Y
CERK	Y
CFB	Y
CFC1	Y
CFI	Y
CFL1	Y
CFLAR	Y
CFTR	Y
CGN	Y
CGRRF1	Y
CH25H	Y
CHCHD1	Y
CHCHD3	Y
CHCHD6	Y
CHD1L	Y
CHD4	Y
