Gene	MembraneAssociated	Dis_Min	Dis_Median	Dis_Mean	Dis_SD	Dis_Max	Dis_NumOutliers	Dis_PercOutliers	Dis_OutliersTopName	Out_Min	Out_Median	Out_Mean	Out_SD	Out_Max	Out_NumOutliers	Out_PercOutliersTop	Out_OutliersTopName	Difference.in.Median	Wilcoxon_Pvalue	HPA.Median	HPA.Mean	HPA....NA.	Protein.Expression.....Low.	Protein.Expression.....Medium.	Protein.Expression.....High.	Potential.Expression.in.Vital.Tissue	Rank_Metric
ITGA4	Y	0.77777	0.96375	0.911677	0.0970206582125683	0.99082	0	0%	NONE	0.08815	0.09247	0.1136035	0.0683843455140786	0.308125	0	NA	 	0.87128	0.00112272815294471	NA	NaN	100%	NA	NA	NA	NA	2.57003673525165
CD3G	Y	0.87522	0.9146875	0.9213635	0.0351331662926927	0.95861	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.8240975	0.00112272815294471	0	0.234042553191489	17.5%	5	4	2	NA	2.43086131717594
CD5	Y	0.85204	0.90822	0.913412	0.0455383851272748	0.96872	0	0%	NONE	0.08815	0.09247	0.109531	0.0555144278443801	0.2674	0	NA	 	0.81575	0.00112272815294471	0	0.276595744680851	17.5%	5	5	3	NA	2.40623848450732
CR2	Y	0.11846	0.87372	0.657882	0.367905507324911	0.94899	1	20%		0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.78313	0.00112272815294471	0	0.25531914893617	17.5%	4	4	4	NA	2.3100184423809
CD1A	Y	0.535075	0.84569	0.768014	0.216019628315345	0.96639	0	0%	NONE	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.7551	0.00112272815294471	0	0.0638297872340425	17.5%	1	1	1	NA	2.22733763978115
CD96	Y	0.714375	0.84536	0.837842	0.0800316183298826	0.93876	0	0%	NONE	0.08815	0.09247	0.1078415	0.0501765424415522	0.250505	0	NA	 	0.75289	0.00112272815294471	0	0.127659574468085	17.5%	6	0	0	NA	2.22081874667572
CD6	Y	0.7430025	0.83245	0.8192685	0.0629317196352523	0.90166	0	0%	NONE	0.08815	0.09247	0.107273	0.0483806343373967	0.24482	0	NA	 	0.73998	0.00112272815294471	0	0.276595744680851	17.5%	5	4	4	NA	2.18273779192856
CD7	Y	0.62547	0.94947	0.885544	0.146739246215864	0.97412	0	0%	NONE	0.08815	0.21487875	0.2175865	0.131597304990768	0.368685	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.73459125	0.00112272815294471	0	0.191489361702128	17.5%	5	3	1	NA	2.16684245924896
IGLL1	Y	0.12279	0.82496	0.605829	0.438556467436065	0.99102	2	40%	Sample3,Sample4	0.08815	0.09059	0.0916465	0.00248290382191676	0.09435	0	NA	 	0.73437	0.00112272815294471	0	0.0212765957446809	17.5%	1	0	0	NA	2.16618983250707
CD8A	Y	0.41297	0.824515	0.740952	0.1919081538979	0.87049	0	0%	NONE	0.08815	0.09247	0.1131835	0.0670569109890165	0.303925	0	NA	 	0.732045	0.00112272815294471	0	0.319148936170213	17.5%	6	5	4	NA	2.15933172098211
CD3E	Y	0.93859	0.96476	0.957344	0.0140829659518157	0.97188	0	0%	NONE	0.09059	0.2486575	0.204275	0.106947038164795	0.39619	1	NA	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	0.7161025	0.00112272815294471	0	0.276595744680851	17.5%	5	5	3	NA	2.11230572399865
